Datetime,Open,High,Low,Close,Volume
2018-01-18 18:00:00,11029.12,11199.98,10980.06,11120.05,984429.96
2018-01-18 19:00:00,11120.05,11414.51,11101.05,11330.65,6726997.9
2018-01-18 20:00:00,11330.65,11761.01,11300,11305.22,6553294.58
2018-01-18 21:00:00,11305.22,11600,11216.12,11349,4885518.77
2018-01-18 22:00:00,11349,11588,11280,11578.35,4677766.98
2018-01-18 23:00:00,11578.35,11735.94,11208.48,11624.99,5291997.86
2018-01-19 00:00:00,11624.99,11625,11104.93,11278.88,3888745.37
2018-01-19 01:00:00,11278.88,11410.26,11010.05,11022,2689686.94
2018-01-19 02:00:00,11022,11500,11002.12,11480.49,3086641.11
2018-01-19 03:00:00,11480.49,11600,11301.24,11598.9,1308367.2
2018-01-19 04:00:00,11598.9,11790,11508.39,11549.01,1988877.14
2018-01-19 05:00:00,11549.01,11684.54,11250.3,11399.54,1981009.53
2018-01-19 06:00:00,11399.54,11399.54,10900,11091.36,4139814.59
2018-01-19 07:00:00,11091.36,11181.01,10850,11055,3018490.73
2018-01-19 08:00:00,11055,11344.92,10921.99,11281.37,2613096.64
2018-01-19 09:00:00,11281.37,11450,11127.88,11239.9,3389892.16
2018-01-19 10:00:00,11239.9,11239.9,10658.76,10688.74,3795335.71
2018-01-19 11:00:00,10688.74,11006,10592,10879.98,4356555.02
2018-01-19 12:00:00,10879.98,11123.99,10661.46,11024.99,3990296.42
2018-01-19 13:00:00,11024.99,11216.78,10957.53,11143.46,3454518.52
2018-01-19 14:00:00,11143.46,11339.55,11030.01,11190.24,3040999.39
2018-01-19 15:00:00,11190.24,11230.09,10962,11057.02,2677370.99
2018-01-19 16:00:00,11057.02,11594.33,10980.05,11418.57,5236402.65
2018-01-19 17:00:00,11418.57,11519.95,11310.4,11387.56,3884987.38
2018-01-19 18:00:00,11387.56,11656.72,11320,11602.98,4432318.96
2018-01-19 19:00:00,11602.98,11630,11423.92,11581.4,4063051.09
2018-01-19 20:00:00,11581.4,11868.8,11531,11767.53,4012195.6
2018-01-19 21:00:00,11767.53,11888,11588,11602.66,4277595.15
2018-01-19 22:00:00,11602.66,11736.93,11250.55,11376.2,3671480.84
2018-01-19 23:00:00,11376.2,11529.33,11311.91,11441.01,2572725.29
2018-01-20 00:00:00,11441.01,11692.2,11441.01,11634.87,2947155.45
2018-01-20 01:00:00,11634.87,11634.87,11193.1,11282.05,2516254.19
2018-01-20 02:00:00,11282.05,11349.68,11057.88,11266.3,2690286.71
2018-01-20 03:00:00,11266.3,11330,11136.23,11216.62,1123411.91
2018-01-20 04:00:00,11216.62,11424.52,11166.02,11359.22,916948.84
2018-01-20 05:00:00,11359.22,11480.05,11262.01,11306.6,1170403.67
2018-01-20 06:00:00,11306.6,11377.06,11200,11258.52,1119159.77
2018-01-20 07:00:00,11258.52,11540.9,11214,11513.64,1491399.95
2018-01-20 08:00:00,11513.64,11629.9,11458.15,11553.5,1877620.81
2018-01-20 09:00:00,11553.5,11687.9,11530.59,11680,3119365.26
2018-01-20 10:00:00,11680,11736.9,11612,11719.9,4117716.94
2018-01-20 11:00:00,11719.9,11809.27,11701.75,11789.7,4737443.64
2018-01-20 12:00:00,11789.7,12313,11600.05,12302.33,4841158.87
2018-01-20 13:00:00,12302.33,12736.85,12300,12691.57,6168603.27
2018-01-20 14:00:00,12691.57,12748,12251.23,12436.47,4718126.49
2018-01-20 15:00:00,12436.47,12602.01,12400,12589.69,4094353.85
2018-01-20 16:00:00,12589.69,12759.38,12413.46,12750.01,4471319.9
2018-01-20 17:00:00,12750.01,12760,12477,12499.99,3226794.79
2018-01-20 18:00:00,12499.99,12539,12409,12538.95,3175617.43
2018-01-20 19:00:00,12538.95,12538.95,12272,12274.41,2610093.95
2018-01-20 20:00:00,12274.41,12470,12224.69,12449.87,3579209.49
2018-01-20 21:00:00,12449.87,12600,12374.27,12374.27,3331350.15
2018-01-20 22:00:00,12374.27,12679.52,12297.13,12532.8,3493506.32
2018-01-20 23:00:00,12532.8,12612.93,12433.01,12500,2788311.84
2018-01-21 00:00:00,12500,12887.99,12484.93,12849.99,4106217.99
2018-01-21 01:00:00,12849.99,12949.5,12727.33,12801,3611865.25
2018-01-21 02:00:00,12801,12980,12748.38,12968.09,2471311.28
2018-01-21 03:00:00,12968.09,12980,12700.3,12784.78,2890753.97
2018-01-21 04:00:00,12784.78,12821.85,12610,12795.67,1428662.52
2018-01-21 05:00:00,12795.67,12932.34,12730.95,12891.15,962211.78
2018-01-21 06:00:00,12891.15,12979,12815.52,12850,1839071.38
2018-01-21 07:00:00,12850,12866.78,12707.65,12758.27,1685397.14
2018-01-21 08:00:00,12758.27,12780,12160,12200,3323857.37
2018-01-21 09:00:00,12200,12541,12153.12,12487.55,2725448.7
2018-01-21 10:00:00,12487.55,12609.03,12310.1,12461.37,2780300.88
2018-01-21 11:00:00,12461.37,12588.87,12383.14,12390.23,2819875.1
2018-01-21 12:00:00,12390.23,12427,12010,12020,4320702.61
2018-01-21 13:00:00,12020,12199.95,11938.73,11993.22,4502280.05
2018-01-21 14:00:00,11993.22,12112.47,11800,11883.05,4149539.98
2018-01-21 15:00:00,11883.05,11883.05,11500,11799,5729346.05
2018-01-21 16:00:00,11799,11997.99,11713.2,11811.2,4374346.18
